# path	base_revision	validated_revision	validated_tree
device/meizu/m86	31d5bfbab7bd2b1b146931df08371e3e539cee57	ad8a347cc39a14f0a5161ff2c462c02f76462b42	58344364a57b12de3a045c181b919589afae8d83
kernel/meizu/m86	649c389a041cf9ab0f7ccf735bceb761cf150d32	fe0669d8325cb571f264930479f63db518217e78	d78afab51f07c7e4ee8da5175371d9942e71ef4d
vendor/meizu/m86	1b6ec3d5adc1bcce18121463ac2d10bee132b74f	18a07ba50c8b1616f585b553f7241fd8b33c2f33	0025f8c4f739f39cfa6143ad43025a0ca1c7c0cf
hardware/meizu/m86	fa449842764c155f1c8deb00684211ec3906e624	5f852381efa4956bd5a4bc8554572cea466f6a45	08accacddd401fa5a3be5fc05e037d2147cf77cd
frameworks/av	8ad4e1d710fab315ff7ce461eed1efa60f282828	cd85ddd1d53e24d03b0e705e774a2477757fd4a2	de2bfe5d064a570ef2a0abcbd9243ae447655f2d
hardware/interfaces	ae469cee0dce6d71489588126a15da8e67a50102	e73f5112ee279b85066b5dac06cee6291b24869c	3f9e8422b31645562ce6e1c9ad9eb38f0376bf55
hardware/samsung_slsi-linaro/exynos	d8c999e01ec40c4a5f93523c6695f2c5e9a22fd1	75ad09dab0af3a256d007713ec04261b767a0e76	6809f01369e593f8a9b1cb99d8f1ff848e2d77f3
hardware/samsung_slsi-linaro/graphics	3774f17faed760fd90ba9d7c90d591c938f631a9	036302651ef03db74dbd1510ff93f1cd73551ac5	ff893befe83538c2f5aaed03a21a1c18809cd936
hardware/samsung_slsi-linaro/openmax	979aeed23ab9faa200fe7771245ffb788bc26a27	bf5e08a4ddfbaec0b308585103703d9fb6f19ba3	57ace0db52412e0c542c1eb87678004aa28e800e
packages/apps/Camera2	b98b0079e2764a18dd17a7b157c3fa7d5cc9e375	476019282a060f0c2afc6e541a8c9a8665db26fe	7df25d094e641a65fb39ee6134a80a20e1bd40e4
system/bpf	bb1485f836d496570a337f6d7b809a3e44191f71	bb1485f836d496570a337f6d7b809a3e44191f71	b4608f90b54a697c11c980d1bc849e4e5e03e7f8
system/netd	bb0df47d330bed1f1bfa59ffa54834da4c87b043	bb0df47d330bed1f1bfa59ffa54834da4c87b043	154123ce021d3baa75ecb2283d69061efa4dbf54
system/nfc	4514f6081f3a7ffabfacd83c0330ddbc774a77d5	d1bc5a7ab59e246281672c5aef3bb2b2df1ec73a	fab6b65e0c71c82c880f1c06a1fb5a17640588d5
